geo_name,date_year,date_month,vessel_type,total,ships_from_ukraine,ships_from_russia,ships_through_suez,ships_through_bosphorus,longitude,latitude,iso2,date
ZEIT BAY LPG TERMINAL (EG),2019,1,Cargo,1,0,0,0,1,33.566667,27.8,EG,2019-01-01
AIN SUKHNA TERMINAL (EG),2019,1,Tanker,17,1,0,4,0,32.366667,29.583333,EG,2019-01-01
AL ISKANDARIYH (ALEXANDRIA) (EG),2019,1,Tanker,78,3,10,14,15,29.833333,31.166667,EG,2019-01-01
AS SUWAYS (EG),2019,1,Tanker,362,12,7,128,19,32.55,29.966667,EG,2019-01-01
BUR SAID (PORT SAID) (EG),2019,1,Tanker,218,9,27,97,40,32.3,31.266667,EG,2019-01-01
DAMIETTA (EG),2019,1,Tanker,6,2,1,0,3,31.75,31.483333,EG,2019-01-01
EL HAMRA OIL TERMINAL (EG),2019,1,Tanker,4,0,2,0,2,28.866667,30.983333,EG,2019-01-01
EL ISMAILIYA (EG),2019,1,Tanker,48,5,4,27,9,32.283333,30.583333,EG,2019-01-01
EL MAADIYA (EG),2019,1,Tanker,7,1,1,1,2,30.15,31.266667,EG,2019-01-01
EL TUR HARBOR (EG),2019,1,Tanker,2,0,0,1,0,33.616667,28.233333,EG,2019-01-01
EL-ADABIYA (EG),2019,1,Tanker,15,0,0,3,0,32.466667,29.866667,EG,2019-01-01
RAS ABU ZANIMAH (EG),2019,1,Tanker,3,0,0,0,0,33.116667,29.033333,EG,2019-01-01
RAS GHARIB (EG),2019,1,Tanker,2,0,0,1,0,33.1,28.35,EG,2019-01-01
RAS SHUKHIER (EG),2019,1,Tanker,7,0,0,3,0,33.283333,28.133333,EG,2019-01-01
RAS SUDR (EG),2019,1,Tanker,1,0,0,0,0,32.7,29.583333,EG,2019-01-01
SIDI KERIR (KURAYR) (EG),2019,1,Tanker,3,0,0,0,0,29.616667,31.1,EG,2019-01-01
WADI FEIRAN (EG),2019,1,Tanker,4,0,0,1,0,33.2,28.75,EG,2019-01-01
ZAFARANA TERMINAL (EG),2019,1,Tanker,5,0,0,1,0,32.683333,29.166667,EG,2019-01-01
ZEIT BAY LPG TERMINAL (EG),2019,1,Tanker,1,1,0,1,0,33.566667,27.8,EG,2019-01-01
KILIFI (KE),2019,1,Cargo,2,0,0,0,0,39.866667,-3.633333,KE,2019-01-01
LAMU (KE),2019,1,Cargo,1,0,0,0,0,40.9,-2.266667,KE,2019-01-01
MALINDI (KE),2019,1,Cargo,2,0,0,0,0,40.133333,-3.216667,KE,2019-01-01
MOMBASA (KE),2019,1,Cargo,123,1,4,7,6,39.666667,-4.066667,KE,2019-01-01
LAMU (KE),2019,1,Tanker,1,0,0,0,0,40.9,-2.266667,KE,2019-01-01
MOMBASA (KE),2019,1,Tanker,33,0,1,0,1,39.666667,-4.066667,KE,2019-01-01
BEIRA (MZ),2019,1,Cargo,38,1,2,0,1,34.833333,-19.833333,MZ,2019-01-01
MAPUTO (MZ),2019,1,Cargo,93,3,0,1,2,32.583333,-25.966667,MZ,2019-01-01
NACALA (MZ),2019,1,Cargo,37,0,0,0,0,40.666667,-14.533333,MZ,2019-01-01
PEMBA (MZ),2019,1,Cargo,5,0,0,0,0,40.5,-12.966667,MZ,2019-01-01
QUELIMANE (MZ),2019,1,Cargo,3,0,0,0,0,36.883333,-17.883333,MZ,2019-01-01
BEIRA (MZ),2019,1,Tanker,16,0,0,0,0,34.833333,-19.833333,MZ,2019-01-01
CHINDE (MZ),2019,1,Tanker,1,0,0,0,0,36.5,-18.566667,MZ,2019-01-01
MAPUTO (MZ),2019,1,Tanker,15,0,0,0,0,32.583333,-25.966667,MZ,2019-01-01
MOCAMBIQUE (MZ),2019,1,Tanker,1,0,0,0,0,40.733333,-15.033333,MZ,2019-01-01
NACALA (MZ),2019,1,Tanker,10,0,0,0,0,40.666667,-14.533333,MZ,2019-01-01
PEMBA (MZ),2019,1,Tanker,2,0,0,0,0,40.5,-12.966667,MZ,2019-01-01
QUELIMANE (MZ),2019,1,Tanker,1,0,0,0,0,36.883333,-17.883333,MZ,2019-01-01
ANAPA (RU),2019,1,Cargo,2,0,2,0,2,37.316667,44.883333,RU,2019-01-01
AZOV (RU),2019,1,Cargo,172,41,172,1,113,39.433333,47.1,RU,2019-01-01
GELENDZHIK (RU),2019,1,Cargo,3,1,3,1,1,38.066667,44.55,RU,2019-01-01
KAVKAZ OIL TERMINAL (RU),2019,1,Cargo,538,150,538,3,351,36.65,45.333333,RU,2019-01-01
NOVOROSSIYSK (RU),2019,1,Cargo,286,68,286,13,209,37.783333,44.716667,RU,2019-01-01
ROSTOV-NA-DONU (RU),2019,1,Cargo,269,51,269,0,153,39.716667,47.166667,RU,2019-01-01
SOCHI (RU),2019,1,Cargo,1,0,1,0,1,39.733333,43.583333,RU,2019-01-01
TAGANROG (RU),2019,1,Cargo,194,54,194,0,136,38.95,47.2,RU,2019-01-01
TEMRYUK (RU),2019,1,Cargo,74,18,74,0,44,37.35,45.35,RU,2019-01-01
TUAPSE (RU),2019,1,Cargo,61,10,61,3,41,39.066667,44.1,RU,2019-01-01
YEYSK (RU),2019,1,Cargo,103,32,103,0,70,38.266667,46.733333,RU,2019-01-01
ANAPA (RU),2019,1,Tanker,3,1,3,0,2,37.316667,44.883333,RU,2019-01-01
AZOV (RU),2019,1,Tanker,28,2,28,0,10,39.433333,47.1,RU,2019-01-01
GELENDZHIK (RU),2019,1,Tanker,1,0,1,0,0,38.066667,44.55,RU,2019-01-01
KAVKAZ OIL TERMINAL (RU),2019,1,Tanker,216,22,216,5,99,36.65,45.333333,RU,2019-01-01
NOVOROSSIYSK (RU),2019,1,Tanker,192,10,192,12,131,37.783333,44.716667,RU,2019-01-01
ROSTOV-NA-DONU (RU),2019,1,Tanker,41,6,41,0,19,39.716667,47.166667,RU,2019-01-01
TAGANROG (RU),2019,1,Tanker,41,5,41,0,16,38.95,47.2,RU,2019-01-01
TEMRYUK (RU),2019,1,Tanker,37,6,37,0,19,37.35,45.35,RU,2019-01-01
TUAPSE (RU),2019,1,Tanker,69,5,69,2,49,39.066667,44.1,RU,2019-01-01
YEYSK (RU),2019,1,Tanker,18,1,18,0,5,38.266667,46.733333,RU,2019-01-01
AL KHAIR OIL TERMINAL (SD),2019,1,Cargo,54,1,5,6,5,37.25,19.583333,SD,2019-01-01
BESHAYER OIL TERMINAL (SD),2019,1,Cargo,15,0,0,0,1,37.316667,19.4,SD,2019-01-01
SAWAKIN HARBOR (SD),2019,1,Cargo,4,0,0,0,1,37.35,19.133333,SD,2019-01-01
AL KHAIR OIL TERMINAL (SD),2019,1,Tanker,25,1,0,4,3,37.25,19.583333,SD,2019-01-01
Suez (EG),2019,1,Cargo,437,43,17,437,65,32.355877,30.44337,Suez Canal,2019-01-01
Suez (EG),2019,1,Tanker,181,7,15,181,23,32.355877,30.44337,Suez Canal,2019-01-01
KILWA KIVINJE (TZ),2019,1,Cargo,1,0,1,0,1,39.416667,-8.733333,TZ,2019-01-01
MJIMWEMA TERMINAL (TZ),2019,1,Cargo,80,0,0,2,1,39.366667,-6.816667,TZ,2019-01-01
TANGA (TZ),2019,1,Cargo,2,0,0,0,0,39.116667,-5.083333,TZ,2019-01-01
ZANZIBAR (TZ),2019,1,Cargo,17,0,0,0,0,39.183333,-6.166667,TZ,2019-01-01
KILWA KIVINJE (TZ),2019,1,Tanker,1,0,1,0,1,39.416667,-8.733333,TZ,2019-01-01
MIKINDANI (TZ),2019,1,Tanker,2,0,0,0,0,40.133333,-10.266667,TZ,2019-01-01
MJIMWEMA TERMINAL (TZ),2019,1,Tanker,23,0,0,1,0,39.366667,-6.816667,TZ,2019-01-01
TANGA (TZ),2019,1,Tanker,1,0,0,0,0,39.116667,-5.083333,TZ,2019-01-01
ZANZIBAR (TZ),2019,1,Tanker,2,0,0,0,0,39.183333,-6.166667,TZ,2019-01-01
ALUSHTA (UA),2019,1,Cargo,6,6,5,0,5,34.416667,44.683333,UA,2019-01-01
BALAKLAVA (UA),2019,1,Cargo,1,1,0,0,0,33.6,44.5,UA,2019-01-01
BELGOROD-DNESTROVSKY (UA),2019,1,Cargo,1,1,1,0,1,30.366667,46.183333,UA,2019-01-01
BERDYANSK (UA),2019,1,Cargo,24,24,19,0,19,36.783333,46.75,UA,2019-01-01
CHORNOMORS KE (UA),2019,1,Cargo,1,1,0,0,0,32.7,45.516667,UA,2019-01-01
DNIPRO-BUZKYY (UA),2019,1,Cargo,20,20,5,0,17,31.883333,46.733333,UA,2019-01-01
FEODOSIYA (UA),2019,1,Cargo,1,1,0,0,0,35.433333,45.016667,UA,2019-01-01
ILLICHIVSK (UA),2019,1,Cargo,241,241,46,21,173,30.65,46.3,UA,2019-01-01
IZMAYIL (UA),2019,1,Cargo,120,120,23,1,72,28.85,45.333333,UA,2019-01-01
KERCH (UA),2019,1,Cargo,8,8,8,0,8,36.483333,45.35,UA,2019-01-01
KHERSON (UA),2019,1,Cargo,95,95,21,0,65,32.6,46.616667,UA,2019-01-01
MARIUPOL (UA),2019,1,Cargo,48,48,43,0,36,37.566667,47.083333,UA,2019-01-01
MYKOLAYIV (UA),2019,1,Cargo,162,162,32,6,136,31.983333,46.95,UA,2019-01-01
ODESA (UA),2019,1,Cargo,40,40,6,1,35,30.733333,46.483333,UA,2019-01-01
RENI (UA),2019,1,Cargo,104,104,19,0,64,28.3,45.433333,UA,2019-01-01
SEVASTOPOL (UA),2019,1,Cargo,15,15,7,0,1,33.533333,44.616667,UA,2019-01-01
SUDAK (UA),2019,1,Cargo,4,4,4,0,2,34.983333,44.85,UA,2019-01-01
UST-DUNAISK (UA),2019,1,Cargo,31,31,13,0,17,29.7,45.466667,UA,2019-01-01
YALTA (UA),2019,1,Cargo,7,7,6,0,5,34.166667,44.483333,UA,2019-01-01
YUZHNYY (UA),2019,1,Cargo,206,206,45,15,184,31.016667,46.6,UA,2019-01-01
CHORNOMORS KE (UA),2019,1,Tanker,1,1,0,1,0,32.7,45.516667,UA,2019-01-01
HENICHESK (UA),2019,1,Tanker,1,1,0,0,1,34.816667,46.166667,UA,2019-01-01
ILLICHIVSK (UA),2019,1,Tanker,26,26,8,2,23,30.65,46.3,UA,2019-01-01
IZMAYIL (UA),2019,1,Tanker,13,13,4,0,6,28.85,45.333333,UA,2019-01-01
KERCH (UA),2019,1,Tanker,1,1,1,0,0,36.483333,45.35,UA,2019-01-01
KHERSON (UA),2019,1,Tanker,10,10,0,0,2,32.6,46.616667,UA,2019-01-01
MARIUPOL (UA),2019,1,Tanker,6,6,5,1,4,37.566667,47.083333,UA,2019-01-01
MYKOLAYIV (UA),2019,1,Tanker,21,21,2,1,16,31.983333,46.95,UA,2019-01-01
ODESA (UA),2019,1,Tanker,7,7,2,1,7,30.733333,46.483333,UA,2019-01-01
RENI (UA),2019,1,Tanker,14,14,3,0,8,28.3,45.433333,UA,2019-01-01
SEVASTOPOL (UA),2019,1,Tanker,3,3,1,0,1,33.533333,44.616667,UA,2019-01-01
SUDAK (UA),2019,1,Tanker,1,1,1,0,1,34.983333,44.85,UA,2019-01-01
UST-DUNAISK (UA),2019,1,Tanker,2,2,2,0,1,29.7,45.466667,UA,2019-01-01
YALTA (UA),2019,1,Tanker,1,1,1,0,0,34.166667,44.483333,UA,2019-01-01
YUZHNYY (UA),2019,1,Tanker,31,31,6,4,24,31.016667,46.6,UA,2019-01-01
Bosphorus (TR),2019,2,Cargo,1310,642,594,80,1310,29.07183305,41.11833286,Bosphorus Strait,2019-02-01
Bosphorus (TR),2019,2,Tanker,422,70,287,23,422,29.07183305,41.11833286,Bosphorus Strait,2019-02-01
DJIBOUTI (DJ),2019,2,Cargo,3,0,0,1,0,43.133333,11.6,DJ,2019-02-01
DORALEH (DJ),2019,2,Cargo,90,4,5,25,9,43.083333,11.6,DJ,2019-02-01
DJIBOUTI (DJ),2019,2,Tanker,1,0,1,1,1,43.133333,11.6,DJ,2019-02-01
DORALEH (DJ),2019,2,Tanker,31,0,1,3,1,43.083333,11.6,DJ,2019-02-01
AIN SUKHNA TERMINAL (EG),2019,2,Cargo,10,0,1,2,1,32.366667,29.583333,EG,2019-02-01
AL ISKANDARIYH (ALEXANDRIA) (EG),2019,2,Cargo,263,36,33,9,86,29.833333,31.166667,EG,2019-02-01
AL QUSAYR (EG),2019,2,Cargo,1,0,0,0,0,34.283333,26.1,EG,2019-02-01
AS SUWAYS (EG),2019,2,Cargo,540,39,22,258,71,32.55,29.966667,EG,2019-02-01
BUR SAFAGA (EG),2019,2,Cargo,17,1,2,4,3,33.95,26.733333,EG,2019-02-01
BUR SAID (PORT SAID) (EG),2019,2,Cargo,550,66,39,303,120,32.3,31.266667,EG,2019-02-01
DAMIETTA (EG),2019,2,Cargo,174,27,32,22,66,31.75,31.483333,EG,2019-02-01
EAST ZEIT TERMINAL (EG),2019,2,Cargo,1,0,0,0,0,33.6,27.85,EG,2019-02-01
EL GHARDAQA (EG),2019,2,Cargo,3,0,0,1,0,33.85,27.216667,EG,2019-02-01
EL HAMRA OIL TERMINAL (EG),2019,2,Cargo,1,1,0,0,1,28.866667,30.983333,EG,2019-02-01
EL ISMAILIYA (EG),2019,2,Cargo,112,15,14,72,34,32.283333,30.583333,EG,2019-02-01
EL MAADIYA (EG),2019,2,Cargo,191,25,21,6,60,30.15,31.266667,EG,2019-02-01
EL-ADABIYA (EG),2019,2,Cargo,38,0,3,7,3,32.466667,29.866667,EG,2019-02-01
NUWEIBA EL MUZEIMA (EG),2019,2,Cargo,6,1,0,3,1,34.65,28.966667,EG,2019-02-01
RAS ABU ZANIMAH (EG),2019,2,Cargo,2,0,0,0,0,33.116667,29.033333,EG,2019-02-01
RAS GHARIB (EG),2019,2,Cargo,3,0,1,1,1,33.1,28.35,EG,2019-02-01
RAS SHUKHIER (EG),2019,2,Cargo,3,0,1,1,1,33.283333,28.133333,EG,2019-02-01
SHARM EL SHEIKH (EG),2019,2,Cargo,1,0,0,1,0,34.283333,27.85,EG,2019-02-01
WADI FEIRAN (EG),2019,2,Cargo,3,0,0,1,0,33.2,28.75,EG,2019-02-01
ZAFARANA TERMINAL (EG),2019,2,Cargo,11,0,1,2,1,32.683333,29.166667,EG,2019-02-01
ZEIT BAY LPG TERMINAL (EG),2019,2,Cargo,2,0,0,1,0,33.566667,27.8,EG,2019-02-01
AIN SUKHNA TERMINAL (EG),2019,2,Tanker,15,1,1,2,3,32.366667,29.583333,EG,2019-02-01
AL ISKANDARIYH (ALEXANDRIA) (EG),2019,2,Tanker,76,1,11,13,25,29.833333,31.166667,EG,2019-02-01
AS SUWAYS (EG),2019,2,Tanker,283,4,7,130,12,32.55,29.966667,EG,2019-02-01
BUR SAID (PORT SAID) (EG),2019,2,Tanker,233,16,30,113,53,32.3,31.266667,EG,2019-02-01
DAMIETTA (EG),2019,2,Tanker,7,2,3,1,3,31.75,31.483333,EG,2019-02-01
EL HAMRA OIL TERMINAL (EG),2019,2,Tanker,8,1,0,1,4,28.866667,30.983333,EG,2019-02-01
EL ISMAILIYA (EG),2019,2,Tanker,60,6,6,42,13,32.283333,30.583333,EG,2019-02-01
EL MAADIYA (EG),2019,2,Tanker,5,0,1,2,1,30.15,31.266667,EG,2019-02-01
EL-ADABIYA (EG),2019,2,Tanker,20,1,1,4,3,32.466667,29.866667,EG,2019-02-01
NUWEIBA EL MUZEIMA (EG),2019,2,Tanker,1,0,0,0,0,34.65,28.966667,EG,2019-02-01
RAS ABU ZANIMAH (EG),2019,2,Tanker,6,0,0,0,1,33.116667,29.033333,EG,2019-02-01
RAS GHARIB (EG),2019,2,Tanker,3,1,1,0,3,33.1,28.35,EG,2019-02-01
RAS SHUKHIER (EG),2019,2,Tanker,8,1,1,2,2,33.283333,28.133333,EG,2019-02-01
SIDI KERIR (KURAYR) (EG),2019,2,Tanker,4,0,0,1,1,29.616667,31.1,EG,2019-02-01
WADI FEIRAN (EG),2019,2,Tanker,5,1,1,0,2,33.2,28.75,EG,2019-02-01
ZAFARANA TERMINAL (EG),2019,2,Tanker,4,1,1,0,3,32.683333,29.166667,EG,2019-02-01
ZEIT BAY LPG TERMINAL (EG),2019,2,Tanker,3,1,1,0,3,33.566667,27.8,EG,2019-02-01
KILIFI (KE),2019,2,Cargo,1,0,0,0,0,39.866667,-3.633333,KE,2019-02-01
LAMU (KE),2019,2,Cargo,3,0,0,0,0,40.9,-2.266667,KE,2019-02-01
MALINDI (KE),2019,2,Cargo,2,0,0,0,0,40.133333,-3.216667,KE,2019-02-01
MOMBASA (KE),2019,2,Cargo,109,3,4,4,3,39.666667,-4.066667,KE,2019-02-01
MOMBASA (KE),2019,2,Tanker,34,0,0,2,0,39.666667,-4.066667,KE,2019-02-01
BEIRA (MZ),2019,2,Cargo,54,1,2,0,0,34.833333,-19.833333,MZ,2019-02-01
IBO (MZ),2019,2,Cargo,1,0,1,0,1,40.616667,-12.333333,MZ,2019-02-01
MAPUTO (MZ),2019,2,Cargo,97,2,3,3,0,32.583333,-25.966667,MZ,2019-02-01
NACALA (MZ),2019,2,Cargo,34,0,3,0,2,40.666667,-14.533333,MZ,2019-02-01
PEMBA (MZ),2019,2,Cargo,6,0,0,0,0,40.5,-12.966667,MZ,2019-02-01
QUELIMANE (MZ),2019,2,Cargo,3,0,0,0,0,36.883333,-17.883333,MZ,2019-02-01
BEIRA (MZ),2019,2,Tanker,21,0,1,0,0,34.833333,-19.833333,MZ,2019-02-01
CHINDE (MZ),2019,2,Tanker,1,0,1,0,1,36.5,-18.566667,MZ,2019-02-01
MAPUTO (MZ),2019,2,Tanker,30,0,0,0,0,32.583333,-25.966667,MZ,2019-02-01
NACALA (MZ),2019,2,Tanker,17,0,0,0,0,40.666667,-14.533333,MZ,2019-02-01
PEMBA (MZ),2019,2,Tanker,1,0,0,0,0,40.5,-12.966667,MZ,2019-02-01
ANAPA (RU),2019,2,Cargo,1,0,1,0,0,37.316667,44.883333,RU,2019-02-01
AZOV (RU),2019,2,Cargo,143,34,143,0,92,39.433333,47.1,RU,2019-02-01
GELENDZHIK (RU),2019,2,Cargo,4,0,4,0,1,38.066667,44.55,RU,2019-02-01
KAVKAZ OIL TERMINAL (RU),2019,2,Cargo,476,137,476,4,310,36.65,45.333333,RU,2019-02-01
NOVOROSSIYSK (RU),2019,2,Cargo,269,62,269,8,198,37.783333,44.716667,RU,2019-02-01
ROSTOV-NA-DONU (RU),2019,2,Cargo,199,52,199,0,122,39.716667,47.166667,RU,2019-02-01
SOCHI (RU),2019,2,Cargo,2,0,2,0,0,39.733333,43.583333,RU,2019-02-01
TAGANROG (RU),2019,2,Cargo,169,46,169,0,125,38.95,47.2,RU,2019-02-01
TEMRYUK (RU),2019,2,Cargo,54,11,54,0,40,37.35,45.35,RU,2019-02-01
TUAPSE (RU),2019,2,Cargo,61,14,61,4,38,39.066667,44.1,RU,2019-02-01
YEYSK (RU),2019,2,Cargo,54,19,54,0,36,38.266667,46.733333,RU,2019-02-01
ANAPA (RU),2019,2,Tanker,4,0,4,0,2,37.316667,44.883333,RU,2019-02-01
AZOV (RU),2019,2,Tanker,21,1,21,0,7,39.433333,47.1,RU,2019-02-01
GELENDZHIK (RU),2019,2,Tanker,3,0,3,0,0,38.066667,44.55,RU,2019-02-01
KAVKAZ OIL TERMINAL (RU),2019,2,Tanker,205,28,205,4,92,36.65,45.333333,RU,2019-02-01
NOVOROSSIYSK (RU),2019,2,Tanker,201,6,201,7,142,37.783333,44.716667,RU,2019-02-01
ROSTOV-NA-DONU (RU),2019,2,Tanker,24,4,24,0,8,39.716667,47.166667,RU,2019-02-01
TAGANROG (RU),2019,2,Tanker,37,6,37,0,10,38.95,47.2,RU,2019-02-01
TEMRYUK (RU),2019,2,Tanker,49,7,49,1,23,37.35,45.35,RU,2019-02-01
TUAPSE (RU),2019,2,Tanker,53,1,53,1,34,39.066667,44.1,RU,2019-02-01
YEYSK (RU),2019,2,Tanker,11,3,11,0,6,38.266667,46.733333,RU,2019-02-01
AL KHAIR OIL TERMINAL (SD),2019,2,Cargo,60,3,3,8,8,37.25,19.583333,SD,2019-02-01
BESHAYER OIL TERMINAL (SD),2019,2,Cargo,16,0,0,1,1,37.316667,19.4,SD,2019-02-01
SAWAKIN HARBOR (SD),2019,2,Cargo,3,0,0,0,0,37.35,19.133333,SD,2019-02-01
AL KHAIR OIL TERMINAL (SD),2019,2,Tanker,17,0,1,3,1,37.25,19.583333,SD,2019-02-01
Suez (EG),2019,2,Cargo,467,39,22,467,71,32.355877,30.44337,Suez Canal,2019-02-01
Suez (EG),2019,2,Tanker,187,5,13,187,20,32.355877,30.44337,Suez Canal,2019-02-01
CHAKE CHAKE (TZ),2019,2,Cargo,2,0,0,0,0,39.766667,-5.25,TZ,2019-02-01
DAR ES SALAAM (TZ),2019,2,Cargo,2,0,0,0,0,39.3,-6.816667,TZ,2019-02-01
MIKINDANI (TZ),2019,2,Cargo,4,0,0,0,0,40.133333,-10.266667,TZ,2019-02-01
MJIMWEMA TERMINAL (TZ),2019,2,Cargo,91,1,2,4,2,39.366667,-6.816667,TZ,2019-02-01
TANGA (TZ),2019,2,Cargo,3,0,0,0,0,39.116667,-5.083333,TZ,2019-02-01
ZANZIBAR (TZ),2019,2,Cargo,18,0,0,0,0,39.183333,-6.166667,TZ,2019-02-01
MIKINDANI (TZ),2019,2,Tanker,1,0,0,0,0,40.133333,-10.266667,TZ,2019-02-01
MJIMWEMA TERMINAL (TZ),2019,2,Tanker,23,0,1,2,1,39.366667,-6.816667,TZ,2019-02-01
TANGA (TZ),2019,2,Tanker,1,0,0,0,0,39.116667,-5.083333,TZ,2019-02-01
ZANZIBAR (TZ),2019,2,Tanker,1,0,0,0,0,39.183333,-6.166667,TZ,2019-02-01
ALUSHTA (UA),2019,2,Cargo,4,4,4,0,4,34.416667,44.683333,UA,2019-02-01
BALAKLAVA (UA),2019,2,Cargo,1,1,1,0,1,33.6,44.5,UA,2019-02-01
BELGOROD-DNESTROVSKY (UA),2019,2,Cargo,1,1,1,0,1,30.366667,46.183333,UA,2019-02-01
BERDYANSK (UA),2019,2,Cargo,12,12,11,0,10,36.783333,46.75,UA,2019-02-01
CHORNOMORS KE (UA),2019,2,Cargo,4,4,0,1,0,32.7,45.516667,UA,2019-02-01
DNIPRO-BUZKYY (UA),2019,2,Cargo,14,14,3,0,11,31.883333,46.733333,UA,2019-02-01
ILLICHIVSK (UA),2019,2,Cargo,229,229,31,21,170,30.65,46.3,UA,2019-02-01
IZMAYIL (UA),2019,2,Cargo,80,80,18,0,52,28.85,45.333333,UA,2019-02-01
KERCH (UA),2019,2,Cargo,5,5,5,0,4,36.483333,45.35,UA,2019-02-01
KHERSON (UA),2019,2,Cargo,95,95,21,0,61,32.6,46.616667,UA,2019-02-01
MARIUPOL (UA),2019,2,Cargo,51,51,41,0,36,37.566667,47.083333,UA,2019-02-01
MYKOLAYIV (UA),2019,2,Cargo,159,159,23,6,125,31.983333,46.95,UA,2019-02-01
ODESA (UA),2019,2,Cargo,43,43,8,6,38,30.733333,46.483333,UA,2019-02-01
RENI (UA),2019,2,Cargo,99,99,16,0,63,28.3,45.433333,UA,2019-02-01
SEVASTOPOL (UA),2019,2,Cargo,17,17,8,0,4,33.533333,44.616667,UA,2019-02-01
SUDAK (UA),2019,2,Cargo,16,16,16,0,13,34.983333,44.85,UA,2019-02-01
UST-DUNAISK (UA),2019,2,Cargo,28,28,14,0,20,29.7,45.466667,UA,2019-02-01
YALTA (UA),2019,2,Cargo,14,14,13,0,11,34.166667,44.483333,UA,2019-02-01
YUZHNYY (UA),2019,2,Cargo,220,220,43,18,175,31.016667,46.6,UA,2019-02-01
BERDYANSK (UA),2019,2,Tanker,1,1,0,0,0,36.783333,46.75,UA,2019-02-01
CHORNOMORS KE (UA),2019,2,Tanker,2,2,0,0,0,32.7,45.516667,UA,2019-02-01
DNIPRO-BUZKYY (UA),2019,2,Tanker,1,1,0,0,0,31.883333,46.733333,UA,2019-02-01
ILLICHIVSK (UA),2019,2,Tanker,25,25,5,2,21,30.65,46.3,UA,2019-02-01
IZMAYIL (UA),2019,2,Tanker,13,13,1,0,7,28.85,45.333333,UA,2019-02-01
KERCH (UA),2019,2,Tanker,3,3,3,1,1,36.483333,45.35,UA,2019-02-01
KHERSON (UA),2019,2,Tanker,7,7,0,0,0,32.6,46.616667,UA,2019-02-01
MARIUPOL (UA),2019,2,Tanker,8,8,6,0,4,37.566667,47.083333,UA,2019-02-01
MYKOLAYIV (UA),2019,2,Tanker,32,32,4,4,20,31.983333,46.95,UA,2019-02-01
ODESA (UA),2019,2,Tanker,12,12,0,2,10,30.733333,46.483333,UA,2019-02-01
RENI (UA),2019,2,Tanker,19,19,3,0,7,28.3,45.433333,UA,2019-02-01
SEVASTOPOL (UA),2019,2,Tanker,1,1,1,0,0,33.533333,44.616667,UA,2019-02-01
SUDAK (UA),2019,2,Tanker,2,2,2,0,1,34.983333,44.85,UA,2019-02-01
